Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (kgf·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
0,,,,,-0.0625,0.04296875,-0.970703125,0.0002557484558602204,-0.029516510699339797,16.6324462890625,0.0007183159701526165,0,0,0.011947351792139215,0,0,0,0,0.05859375,,
0,,,,,-0.0625,0.046875,-0.970703125,0.00025641816577194067,-0.028967565949612296,16.63333511352539,0.011569010000675917,0,0,0.19243122027296913,0,0,0,0,0.05859375,,
0.02175,,,,,-0.0625,0.046875,-0.96875,0.0002638067380133139,-0.02958767020393411,16.632001876831055,-0.0029437934048473836,0,0,0.04896117743442457,0,0,0,0,0.05859375,,
0.04926999999955296,,,,,-0.0625,0.044921875,-0.970703125,0.000267746895683395,-0.029265758159340814,16.630857467651367,0.003508494608104229,0,0,0.05834927375340477,0,0,0,0,0.05859375,,
0.07385499999951571,,,,,-0.0625,0.044921875,-0.970703125,0.00025205861455551904,-0.028984508688801414,16.63333511352539,-0.0014518230222165585,0,0,0.024148658854059236,0,0,0,0,0.05859375,,
0.09966500000003725,,,,,-0.0625,0.044921875,-0.970703125,0.00024372848153920372,-0.029018394167179655,16.633501052856445,0.0019390190951526164,0,0,0.0322526761607298,0,0,0,0,0.05859375,,
0.12230000000074506,,,,,-0.0625,0.044921875,-0.96875,0.00025253461298956547,-0.029108755442854968,16.633779525756836,0.001803385466337204,0,0,0.029997116247007224,0,0,0,0,0.05859375,,
0.15024000000022353,,,,,-0.0625,0.044921875,-0.970703125,0.0002621716319296932,-0.029496179412312855,16.63249969482422,0.008042534720152617,0,0,0.13376745627855158,0,0,0,0,0.05859375,,
0.17158499999996274,,,,,-0.0625,0.04296875,-0.970703125,0.0002648315042777661,-0.029652052612852763,16.63111114501953,0.005058593954890967,0,0,0.08413003830131559,0,0,0,0,0.05859375,,
0.1990449999999255,,,,,-0.0625,0.044921875,-0.970703125,0.00026708986134634514,-0.0293854868496106,16.632572174072266,0.003508494608104229,0,0,0.058355289791636976,0,0,0,0,0.05859375,,
0.22225999999977647,,,,,-0.0625,0.046875,-0.970703125,0.00027039560133266963,-0.02920928236204375,16.631999969482422,-0.0014518230222165585,0,0,0.02414672046119968,0,0,0,0,0.05859375,,
0.25125499999988826,,,,,-0.0625,0.046875,-0.970703125,0.0002697526286109678,-0.029065833836909194,16.633501052856445,0.006821831595152617,0,0,0.11347094302038041,0,0,0,0,0.05859375,,
0.27596999999973926,,,,,-0.0625,0.044921875,-0.970703125,0.00026879069066425184,-0.02887946370582887,16.6324462890625,-0.0036219620145857335,0,0,0.06024208866862182,0,0,0,0,0.05859375,,
0.29976999999955295,,,,,-0.0625,0.046875,-0.96875,0.0002605237136831881,-0.02946681199771838,16.633779525756836,-0.0036219620145857335,0,0,0.06024691760128516,0,0,0,0,0.05859375,,
0.32176999999955297,,,,,-0.0625,0.04296875,-0.970703125,0.00025616386545804996,-0.029455516838258967,16.630857467651367,0.0021134052891284227,0,0,0.03514774213487532,0,0,0,0,0.05859375,,
0.3494199999999255,,,,,-0.0625,0.044921875,-0.96875,0.00024344576786241033,-0.029370803142313363,16.63100242614746,0.0031597222201526164,0,0,0.05254934790931021,0,0,0,0,0.05859375,,
0.3721900000004098,,,,,-0.0625,0.044921875,-0.96875,0.0002610360319595623,-0.029516510699339797,16.6324462890625,0.005058593954890967,0,0,0.08413679225290026,0,0,0,0,0.05859375,,
0.4014949999991804,,,,,-0.0625,0.044921875,-0.966796875,0.0002612343521119788,-0.029146029469071032,16.63250160217285,0.006821831595152617,0,0,0.11346412493612928,0,0,0,0,0.05859375,,
0.42336500000022353,,,,,-0.0625,0.044921875,-0.970703125,0.00025554436970699296,-0.029242038324476048,16.632890701293945,-0.009047309029847383,0,0,0.1504829022342813,0,0,0,0,0.05859375,,
0.4534900000002235,,,,,-0.0625,0.04296875,-0.96875,0.0002575922567718115,-0.029399041040961898,16.63300132751465,0.005601128470152617,0,0,0.09316357727962857,0,0,0,0,0.05859375,,
0.47531000000052154,,,,,-0.0625,0.044921875,-0.96875,0.0002567720033810075,-0.029026300778801244,16.632001876831055,0.006143662985414267,0,0,0.10218141430402757,0,0,0,0,0.05859375,,
0.5000800000000745,,,,,-0.0625,0.044921875,-0.970703125,0.000254423326366738,-0.029195728170692447,16.63249969482422,0.0031597222201526164,0,0,0.0525540788624177,0,0,0,0,0.05859375,,
0.522355000000447,,,,,-0.0625,0.046875,-0.96875,0.0002460078473822986,-0.029417113296096965,16.632001876831055,0.0007183159701526165,0,0,0.011947032563736039,0,0,0,0,0.05859375,,
0.5514450000002981,,,,,-0.0625,0.04296875,-0.96875,0.0002591816583666063,-0.029719823569609245,16.630998611450195,-0.004164496529847383,0,0,0.06925973600528099,0,0,0,0,0.05859375,,
0.5733649999992922,,,,,-0.0625,0.044921875,-0.96875,0.0002508826425004425,-0.02885235532312628,16.632890701293945,-0.0014518230222165585,0,0,0.024148013646150268,0,0,0,0,0.05859375,,
0.5997000000001863,,,,,-0.0625,0.044921875,-0.970703125,0.00025058830469563135,-0.029395652493124074,16.63500213623047,0.004380425345152617,0,0,0.07286838497421187,0,0,0,0,0.05859375,,
0.6214249999998137,,,,,-0.0625,0.044921875,-0.966796875,0.0002574850417118201,-0.02957072746474499,16.631999969482422,-0.0017230902798473836,0,0,0.02865843748183714,0,0,0,0,0.05859375,,
0.6493999999994412,,,,,-0.0625,0.04296875,-0.970703125,0.00025496721922248276,-0.0292352612288004,16.63300132751465,0.004380425345152617,0,0,0.07285962058100229,0,0,0,0,0.05859375,,
0.6722649999996647,,,,,-0.0625,0.044921875,-0.970703125,0.00025807786856696575,-0.029437444583123907,16.63333511352539,0.007228732481598854,0,0,0.12023792981245976,0,0,0,0,0.05859375,,
0.6998799999998883,,,,,-0.0625,0.044921875,-0.96875,0.00026394565736438013,-0.029779687914744134,16.632572174072266,0.004903583694249392,0,0,0.08155920970620692,0,0,0,0,0.05859375,,
0.7264099999992177,,,,,-0.0625,0.046875,-0.97265625,0.0002632698913196423,-0.029783076462581957,16.633602142333984,-0.0012348090298473836,0,0,0.02053932212424279,0,0,0,0,0.05859375,,
0.7503499999996275,,,,,-0.0625,0.044921875,-0.96875,0.00027577722190280483,-0.029141511405287267,16.63422393798828,0.003973524225875736,0,0,0.06609649179623851,0,0,0,0,0.05859375,,
0.7725149999996648,,,,,-0.0625,0.044921875,-0.96875,0.00026629545411940934,-0.029237520260692283,16.63300132751465,-0.0005023871548473835,0,0,0,0,0,0,0,0.05859375,,
0.7992999999998137,,,,,-0.0625,0.044921875,-0.96875,0.0002483901404516472,-0.02951876973123168,16.632572174072266,0.013274119142442942,0,0,0.22078274468391648,0,0,0,0,0.05859375,,
0.8217900000000372,,,,,-0.0625,0.044921875,-0.970703125,0.00025345799161243437,-0.029203634782314043,16.6324462890625,-0.0036219620145857335,0,0,0.06024208866862182,0,0,0,0,0.05859375,,
0.8497199999997392,,,,,-0.0625,0.04296875,-0.96875,0.00024658835708908785,-0.02915167704880074,16.630857467651367,0.004903583694249392,0,0,0.08155080149976097,0,0,0,0,0.05859375,,
0.8717700000004843,,,,,-0.0625,0.048828125,-0.970703125,0.00025718524179142466,-0.0292025052663681,16.633201599121094,0.0036480034701526164,0,0,0.0606779771533418,0,0,0,0,0.05859375,,
0.9013049999997019,,,,,-0.0625,0.04296875,-0.970703125,0.00025660443507591877,-0.029230743165016632,16.632572174072266,0.003508494608104229,0,0,0.058355289791636976,0,0,0,0,0.05859375,,
0.9225300000002608,,,,,-0.0625,0.044921875,-0.96875,0.00025694948205592076,-0.029934431599338108,16.632801055908203,0.0026714409701526164,0,0,0.04443354618915087,0,0,0,0,0.05859375,,
0.9494349999995902,,,,,-0.0625,0.04296875,-0.97265625,0.00025909568767225035,-0.028763123563396907,16.63142967224121,-0.007652219478040933,0,0,0.12726735008559212,0,0,0,0,0.05859375,,
0.9718450000006705,,,,,-0.0625,0.046875,-0.96875,0.0002475728195627015,-0.02928834847825964,16.6324462890625,0.006143662985414267,0,0,0.10218414462300417,0,0,0,0,0.05859375,,
0.9990499999998137,,,,,-0.0625,0.044921875,-0.96875,0.00027135533738317476,-0.02934143572771889,16.63543128967285,0.004903583694249392,0,0,0.08157322961884593,0,0,0,0,0.05859375,,
1.021714999999851,,,,,-0.0625,0.046875,-0.970703125,0.0002643358148157747,-0.02875634646772126,16.632890701293945,-0.00036675352603197096,0,0,0,0,0,0,0,0.05859375,,
1.0489899999992922,,,,,-0.0625,0.046875,-0.96875,0.0002524704362164598,-0.029295125573935293,16.63300132751465,-0.0005023871548473835,0,0,0,0,0,0,0,0.05859375,,
1.073144999999553,,,,,-0.0625,0.044921875,-0.96875,0.0002513823842050519,-0.029628332777987994,16.631555557250977,0.0007183159701526165,0,0,0.011946711965253876,0,0,0,0,0.05859375,,
1.0996749999998137,,,,,-0.0625,0.044921875,-0.96875,0.0002544871378370198,-0.029628332777987994,16.63250160217285,-0.0017230902798473836,0,0,0.028659301840250076,0,0,0,0,0.05859375,,
1.1221550000002607,,,,,-0.0625,0.044921875,-0.96875,0.00025738448367878966,-0.029356119435016127,16.63333511352539,0.005058593954890967,0,0,0.0841412884549552,0,0,0,0,0.05859375,,
1.1499599999999628,,,,,-0.0625,0.044921875,-0.96875,0.00026487342282389227,-0.029662218256366234,16.631427764892578,0.0021134052891284227,0,0,0.035148947404081275,0,0,0,0,0.05859375,,
1.1717050000000746,,,,,-0.0625,0.046875,-0.96875,0.00027388719077906166,-0.030205515426364033,16.634000778198242,0.004624565970152617,0,0,0.07692503394634774,0,0,0,0,0.05859375,,
1.2012699999995529,,,,,-0.0625,0.044921875,-0.96875,0.0002653059186653236,-0.029700621798528243,16.632572174072266,0.011879030521959067,0,0,0.19757883251449151,0,0,0,0,0.05859375,,
1.225429999999702,,,,,-0.0625,0.044921875,-0.970703125,0.00024882732906215277,-0.029539101018258622,16.632402420043945,0.005601128470152617,0,0,0.09316022272194342,0,0,0,0,0.05859375,,
1.2503700000001117,,,,,-0.0625,0.046875,-0.96875,0.0002640079906675887,-0.029584281656096285,16.63250160217285,-0.0017230902798473836,0,0,0.028659301840250076,0,0,0,0,0.05859375,,
1.2718650000002236,,,,,-0.0625,0.044921875,-0.96875,0.000254616740835695,-0.029441962646907672,16.63250160217285,-0.0017230902798473836,0,0,0.028659301840250076,0,0,0,0,0.05859375,,
1.3006900000004098,,,,,-0.0625,0.046875,-0.970703125,0.00025294867413202567,-0.029544748597988335,16.632001876831055,0.011879030521959067,0,0,0.1975720579361566,0,0,0,0,0.05859375,,
1.3215400000000372,,,,,-0.0625,0.044921875,-0.97265625,0.0002633473683936501,-0.029742413888528073,16.632801055908203,-0.0002582465298473835,0,0,0,0,0,0,0,0.05859375,,
1.3491150000002234,,,,,-0.0625,0.04296875,-0.966796875,0.0002575877778087727,-0.029989777880689232,16.63371467590332,-0.0034669517539441586,0,0,0.057668286270229706,0,0,0,0,0.05859375,,
1.3716749999998137,,,,,-0.0625,0.046875,-0.970703125,0.0002509114894602761,-0.029429537971502318,16.63333511352539,-0.005792100541293621,0,0,0.0963419493145686,0,0,0,0,0.05859375,,
1.4007099999999628,,,,,-0.0625,0.046875,-0.966796875,0.00026540404608753354,-0.029213800425827514,16.63300132751465,0.0007183159701526165,0,0,0.011947750485123443,0,0,0,0,0.05859375,,
1.4217900000000372,,,,,-0.0625,0.044921875,-0.970703125,0.0002709750595928062,-0.02900483997582836,16.635557174682617,0.0028884549625217914,0,0,0.048051057675527,0,0,0,0,0.05859375,,
1.4492549999998883,,,,,-0.0625,0.046875,-0.970703125,0.0002551035030804074,-0.029502956507988502,16.63314437866211,-0.0034669517539441586,0,0,0.05766630907720902,0,0,0,0,0.05859375,,
1.4715499999998138,,,,,-0.0625,0.044921875,-0.96875,0.0002497306493070486,-0.02949956796015068,16.6324462890625,0.009398871939629317,0,0,0.15632623271366128,0,0,0,0,0.05859375,,
1.499769999999553,,,,,-0.0625,0.046875,-0.96875,0.00026043369074621426,-0.02925333348393546,16.63249969482422,-0.0029437934048473836,0,0,0.048962642907749654,0,0,0,0,0.05859375,,
1.5222449999991805,,,,,-0.0625,0.046875,-0.970703125,0.00026605745490238615,-0.02925333348393546,16.631555557250977,-0.0014518230222165585,0,0,0.02414607525329071,0,0,0,0,0.05859375,,
1.5519099999992176,,,,,-0.0625,0.046875,-0.96875,0.00025255374070887567,-0.029236390744746342,16.634002685546875,0.0007183159701526165,0,0,0.011948469776589832,0,0,0,0,0.05859375,,
